2014-08-31  2014100     01 06 09 10 14 16 11
2014-02-25 	2014020 	09 14 17 23 24 25 15 	369,800,298
2014-02-23 	2014019 	02 10 15 19 20 21 07 	409,381,396
2014-02-20 	2014018 	13 17 18 21 30 33 15 	366,787,508
2014-02-18 	2014017 	04 06 07 14 25 26 10 	354,286,552
2014-02-16 	2014016 	02 03 07 13 21 24 08 	394,728,698
2014-02-13 	2014015 	02 11 19 30 32 33 09 	345,827,928
2014-02-11 	2014014 	04 09 19 22 25 29 15 	340,281,006
2014-02-09 	2014013 	05 09 13 15 17 21 13 	447,850,102
2014-01-28 	2014012 	01 08 11 19 21 24 08 	364,615,256
2014-01-26 	2014011 	09 10 13 14 21 32 02 	400,827,700
2014-01-23 	2014010 	05 07 08 20 31 33 11 	359,922,428
2014-01-21 	2014009 	08 09 19 20 25 32 16 	348,408,848
2014-01-19 	2014008 	05 14 16 21 29 30 12 	392,135,484
2014-01-16 	2014007 	08 10 12 14 18 28 14 	346,606,050
2014-01-14 	2014006 	03 04 07 17 21 27 14 	369,941,458
2014-01-12 	2014005 	15 18 23 27 32 33 04 	414,088,906
2014-01-09 	2014004 	01 04 19 22 24 25 15 	373,155,800
2014-01-07 	2014003 	06 10 11 28 30 33 12 	363,993,362
2014-01-05 	2014002 	04 21 23 31 32 33 04 	408,021,124
2014-01-02 	2014001 	03 09 15 20 27 29 01 	371,341,368
